KDD-CUP

1	22	-0.002878528	0.138664408	2.396979589	-1.521416635	-1.156640087	-0.203633068	-3.451535885	-1.694314517	0.599396187	-0.282866677	-1.022077287	-0.158629293	0
1	22	-0.002819836	-0.011577869	2.396979589	-1.521416635	-1.156640087	-0.203633068	-3.297084555	-1.600010774	0.599396187	-0.282866677	-1.14673739	-0.158629293	0
1	22	-0.002823884	0.014178815	2.396979589	-1.521416635	-1.156640087	-0.203633068	-3.142633225	-1.505707031	0.599396187	-0.282866677	-1.188290757	-0.158629293	0
1	22	-0.002840075	0.014178815	2.396979589	-1.530799822	-1.164759522	-0.203633068	-2.988181894	-1.411403288	0.599396187	-0.282866677	-1.188290757	-0.158629293	0
1	22	-0.002842098	0.035213944	2.396979589	-1.530799822	-1.164759522	-0.203633068	-2.833730564	-1.317099545	0.599396187	-0.282866677	-1.209067441	-0.158629293	0
1	22	-0.002842098	0.035213944	2.396979589	-1.530799822	-1.164759522	-0.203633068	-2.679279234	-1.222795802	0.599396187	-0.282866677	-1.209067441	-0.158629293	0


1	56	-0.003061686	-0.026287327	-0.417191704	-1.530799822	-1.168819239	-0.203633068	-3.513316417	-1.722605639	0.599396187	-0.282866677	-0.835087133	7.673742426	1
1	56	-0.003061686	-0.026287327	-0.417191704	-1.483883887	-1.128222066	-0.203633068	-3.358865087	-1.628301896	0.599396187	-0.282866677	-1.105184022	2.689505878	1
0	14	-0.002017381	-0.026287327	-0.417191704	-0.076405839	0.093752853	-0.203633068	-1.304662395	-1.750896762	-1.786305795	-0.099815398	-1.209067441	-0.158629293	1
0	14	-0.002017381	-0.026287327	-0.417191704	0.838454893	0.885397733	-0.203633068	-1.150211065	-1.656593019	-1.640242408	-0.099815398	-1.084407338	-0.158629293	1
0	14	-0.002017381	-0.026287327	-0.417191704	0.838454893	0.885397733	-0.203633068	-0.995759735	-1.562289276	-1.494179021	-0.099815398	-0.959747236	-0.158629293	1
0	14	-0.002017381	-0.026287327	-0.417191704	0.833763299	0.881338016	-0.203633068	-0.841308405	-1.467985534	-1.372459532	-0.099815398	-0.855863817	-0.158629293	1
0	14	-0.002017381	-0.026287327	-0.417191704	0.829071706	0.877278298	-0.203633068	-0.686857075	-1.373681791	-1.275083941	-0.099815398	-0.772757081	-0.158629293	1
0	14	-0.002017381	-0.026287327	-0.417191704	0.838454893	0.885397733	-0.203633068	-0.532405745	-1.279378048	-1.17770835	-0.099815398	-0.689650346	-0.158629293	1
0	14	-0.002017381	-0.026287327	-0.417191704	0.838454893	0.885397733	-0.203633068	-0.377954414	-1.185074305	-1.104676657	-0.191341037	-0.627320295	-0.158629293	1


NSL-KDD


20	9	491	0	2	0	1	0	25	0.17	0.03	0	4
44	9	146	0	13	0	0.08	0.15	1	0	0.6	0	4
49	5	0	0	123	1	0.05	0.07	26	0.1	0.05	1	0
24	9	232	8153	5	0.2	1	0	255	1	0	0.03	4
24	9	199	420	30	0	1	0	255	1	0	0	4
49	1	0	0	121	0	0.16	0.06	19	0.07	0.07	0	0
49	5	0	0	166	1	0.05	0.06	9	0.04	0.05	1	0
49	5	0	0	117	1	0.14	0.06	15	0.06	0.07	1	0
51	5	0	0	270	1	0.09	0.05	23	0.09	0.05	1	0
49	5	0	0	133	1	0.06	0.06	13	0.05	0.06	1	0
49	1	0	0	205	0	0.06	0.06	12	0.05	0.07	0	0
49	5	0	0	199	1	0.02	0.06	13	0.05	0.07	1	0
24	9	287	2251	3	0	1	0	219	1	0	0	4
36	5	0	0	233	1	0	0.06	1	0	0.07	1	0
38	5	0	0	96	1	0.17	0.05	2	0.01	0.06	1	0
24	9	300	13788	8	0	1	0	255	1	0	0	4
14	9	18	0	1	0	1	0	16	1	0	0	1
24	9	233	616	3	0	1	0	255	1	0	0	4
24	9	343	1178	9	0	1	0	255	1	0	0	4
35	5	0	0	223	1	0.1	0.05	23	0.09	0.05	1	0
14	9	8	0	1	0	1	0	46	1	0	0	1
49	1	0	0	175	0.1	0.01	1	1	0	0.84	0.07	1
37	4	0	0	1	0	1	0	1	0	0.58	0	1


